"","opa_account_num","Parcel_Id","address","MUSA_ID"
"1","532299300","132N230089","1336%20%20FRIENDSHIP%20ST","MUSA_1"
"2","353149200","0Length","610%20%20GLENVIEW%20ST","MUSA_10"
"3","404100800","026S020040","2518%20%20BERBRO%20ST","MUSA_100"
"4","422180300","127N050146","215%20W%20ASHDALE%20ST","MUSA_1000"
"5","OPA IS ZERO LENGTH","094N170068","631%20%20DUPONT%20ST","MUSA_10000"
"6","331125300","041N030171","825%20E%20CORNWALL%20ST","MUSA_10001"
"7","212505805","093N070054","6232%20%20RIDGE%20AV","MUSA_10002"
"8","662144000","153N120461","11138%20%20TEMPLETON%20DR","MUSA_10003"
"9","122044100","053N170008","723%20%20CHURCH%20LA","MUSA_10004"
"10","171060600","134N100058","1404%20%20LINDLEY%20AV","MUSA_10005"
"11","71558200","037N100116","3064%20%20E%20ST","MUSA_10006"
"12","883726200","002N100133","1201%20%20RACE%20ST","MUSA_10007"
"13","42254700","062N170077","420%20N%20REDFIELD%20ST","MUSA_10008"
"14","612224800","135N100095","5920%20N%20FRANKLIN%20ST","MUSA_10009"
"15","351370000","065N140245","5201%20%20MONTOUR%20ST","MUSA_1001"
"16","331302000","038N140067","3153%20%20WEYMOUTH%20ST","MUSA_10010"
"17","441348200","060N100275","467%20%20DEARBORN%20ST","MUSA_10011"
"18","OPA IS ZERO LENGTH","0Length","5500%20%20WISSAHICKON%20AV","MUSA_10012"
"19","211502500","093N020277","4629%20%20MANSION%20ST","MUSA_10013"
"20","641164000","144N130067","3107%20%20TEESDALE%20ST","MUSA_10014"
"21","883010950","001N190257","1020%20%20CHERRY%20ST","MUSA_10015"
"22","432385500","101N020173","3742%20N%20PARK%20AV","MUSA_10016"
"23","381038800","035N220089","2814%20N%20TAYLOR%20ST","MUSA_10017"
"24","881150500","133N180098","6301%20N%2010TH%20ST","MUSA_10018"
"25","62040100","057N060091","4020%20%20RENO%20ST","MUSA_10019"
"26","542060000","077N030276","2104%20%20DISSTON%20ST","MUSA_1002"
"27","92293400","128N080049","8703%20%20SEMINOLE%20AV","MUSA_10020"
"28","343101700","063N220019","200%20N%20SIMPSON%20ST","MUSA_10021"
"29","871090600","033N180049","2200%20W%20LEHIGH%20AV","MUSA_10022"
"30","652012500","126N010029","4101%20%20STANWOOD%20ST","MUSA_10023"
"31","885708080","151N160165","9280%20%20ROOSEVELT%20BLVD","MUSA_10024"
"32","886616900","048S150030","6100%20%20EASTWICK%20AV","MUSA_10025"
"33","251213100","022N190086","3058%20%20TILTON%20ST","MUSA_10026"
"34","881449400","0Length","6401%20%20MARTINS MILL%20RD","MUSA_10027"
"35","372092000","039N010216","3153%20N%208TH%20ST","MUSA_10028"
"36","622112605","113N030172","1725%20%20BRIDGE%20ST","MUSA_10029"
"37","881607545","020S120088","239%20S%2041ST%20ST","MUSA_1003"
"38","632231700","149N200550","8908%20%20ALICIA%20ST","MUSA_10030"
"39","71194000","034N030080","323%20E%20TUSCULUM%20ST","MUSA_10031"
"40","882078060","0Length","12345%20%20ACADEMY%20RD","MUSA_10032"
"41","482210900","016S150151","2015%20S%20CROSKEY%20ST","MUSA_10033"
"42","442127600","074N030161","4967%20W%20THOMPSON%20ST","MUSA_10034"
"43","41021600","061N080142","5447%20%20SPRING%20ST","MUSA_10035"
"44","881048025","120N060017","144%20W%20ALLENS%20LA","MUSA_10036"
"45","OPA IS ZERO LENGTH","004S220402","610%20S%20AMERICAN%20ST","MUSA_10037"
"46","302298000","007S090180","927%20S%2023RD%20ST","MUSA_10038"
"47","364389900","011S230051","1524%20S%20DOVER%20ST","MUSA_10039"
"48","301280140","0Length","707%20S%20HICKS%20ST","MUSA_1004"
"49","491497000","133N010217","4545%20N%2013TH%20ST","MUSA_10040"
"50","OPA IS NULL","parcel_id","2801%20%20WALNUT HILL%20AV","MUSA_10041"
